year,ticker,prev_close,close,return_pct,source
2021,DD,14.9000,7.2600,-51.28,PSE Edge
2022,DD,7.2600,6.7200,-7.44,PSE Edge
2023,DD,6.7200,7.6000,13.10,PSE Edge
2024,DD,7.6000,10.2000,34.21,PSE Edge
2025,DD,10.2000,9.2800,-9.02,PSE Edge
2026,DD,9.2800,12.1400,30.82,PSE Edge
2015,DHI,2.1500,2.4500,13.95,PSE Edge
2016,DHI,2.4500,3.7900,54.69,PSE Edge
2017,DHI,3.7900,3.8200,0.79,PSE Edge
2018,DHI,3.8200,2.1900,-42.67,PSE Edge
2019,DHI,2.1900,1.8700,-14.61,PSE Edge
2020,DHI,1.8700,3.1600,68.98,PSE Edge
2025,DHI,1.6000,1.3900,-13.13,PSE Edge
2026,DHI,1.3900,15.6000,1022.30,PSE Edge
2015,DMC,15.7000,13.8000,-12.10,PSE Edge
2016,DMC,13.8000,13.2600,-3.91,PSE Edge
2017,DMC,13.2600,14.4000,8.60,PSE Edge
2018,DMC,14.4000,12.7800,-11.25,PSE Edge
2019,DMC,12.7800,6.6100,-48.28,PSE Edge
2020,DMC,6.6100,5.6600,-14.37,PSE Edge
2021,DMC,5.6600,7.7100,36.22,PSE Edge
2022,DMC,7.7100,12.0000,55.64,PSE Edge
2023,DMC,12.0000,9.7700,-18.58,PSE Edge
2024,DMC,9.7700,10.8200,10.75,PSE Edge
2025,DMC,10.8200,10.5400,-2.59,PSE Edge
2026,DMC,10.5400,7.7500,-26.47,PSE Edge
2015,DNL,16.6600,9.1500,-45.08,PSE Edge
2016,DNL,9.1500,11.4000,24.59,PSE Edge
2017,DNL,11.4000,11.0600,-2.98,PSE Edge
2018,DNL,11.0600,10.9800,-0.72,PSE Edge
2019,DNL,10.9800,9.5000,-13.48,PSE Edge
2020,DNL,9.5000,7.7000,-18.95,PSE Edge
2021,DNL,7.7000,9.4500,22.73,PSE Edge
2022,DNL,9.4500,7.9000,-16.40,PSE Edge
2023,DNL,7.9000,6.3100,-20.13,PSE Edge
2024,DNL,6.3100,6.0900,-3.49,PSE Edge
2025,DNL,6.0900,3.8500,-36.78,PSE Edge
2026,DNL,3.8500,3.6000,-6.49,PSE Edge
2015,EMI,10.3800,8.9500,-13.78,PSE Edge
2016,EMI,8.9500,7.0000,-21.79,PSE Edge
2017,EMI,7.0000,7.3500,5.00,PSE Edge
2018,EMI,7.3500,7.1100,-3.27,PSE Edge
2019,EMI,7.1100,7.2100,1.41,PSE Edge
2020,EMI,7.2100,10.1000,40.08,PSE Edge
2021,EMI,10.1000,20.8000,105.94,PSE Edge
2022,EMI,20.8000,20.6000,-0.96,PSE Edge
2023,EMI,20.6000,20.8500,1.21,PSE Edge
2024,EMI,20.8500,18.0600,-13.38,PSE Edge
2025,EMI,18.0600,16.0000,-11.41,PSE Edge
2026,EMI,16.0000,15.4200,-3.63,PSE Edge
2015,EW,23.9500,18.9400,-20.92,PSE Edge
2016,EW,18.9400,18.5400,-2.11,PSE Edge
2017,EW,18.5400,31.9500,72.33,PSE Edge
2018,EW,31.9500,11.9000,-62.75,PSE Edge
2019,EW,11.9000,12.0600,1.34,PSE Edge
2020,EW,12.0600,10.8000,-10.45,PSE Edge
2021,EW,10.8000,9.6000,-11.11,PSE Edge
2022,EW,9.6000,6.6700,-30.52,PSE Edge
2023,EW,6.6700,8.5200,27.74,PSE Edge
2024,EW,8.5200,9.8500,15.61,PSE Edge
2025,EW,9.8500,11.6000,17.77,PSE Edge
2026,EW,11.6000,10.1800,-12.24,PSE Edge
2015,FB,208.0000,129.0000,-37.98,PSE Edge
2016,FB,129.0000,231.0000,79.07,PSE Edge
2017,FB,231.0000,529.0000,129.00,PSE Edge
2018,FB,529.0000,82.0000,-84.50,PSE Edge
2019,FB,82.0000,85.0000,3.66,PSE Edge
2020,FB,85.0000,67.0000,-21.18,PSE Edge
2021,FB,67.0000,71.4000,6.57,PSE Edge
2022,FB,71.4000,38.7000,-45.80,PSE Edge
2023,FB,38.7000,51.0000,31.78,PSE Edge
2024,FB,51.0000,52.7500,3.43,PSE Edge
2025,FB,52.7500,55.0000,4.27,PSE Edge
2026,FB,55.0000,47.2000,-14.18,PSE Edge
2015,FDC,4.3200,4.4000,1.85,PSE Edge
2016,FDC,4.4000,8.2400,87.27,PSE Edge
2017,FDC,8.2400,7.7500,-5.95,PSE Edge
2018,FDC,7.7500,11.8000,52.26,PSE Edge
2019,FDC,11.8000,13.0000,10.17,PSE Edge
2020,FDC,13.0000,9.4400,-27.38,PSE Edge
2021,FDC,9.4400,7.9700,-15.57,PSE Edge
2022,FDC,7.9700,6.4200,-19.45,PSE Edge
2023,FDC,6.4200,5.3500,-16.67,PSE Edge
2024,FDC,5.3500,4.9400,-7.66,PSE Edge
2025,FDC,4.9400,4.5500,-7.89,PSE Edge
2026,FDC,4.5500,3.6000,-20.88,PSE Edge
2015,FEU,1020.0000,955.0000,-6.37,PSE Edge
2016,FEU,955.0000,950.0000,-0.52,PSE Edge
2017,FEU,950.0000,960.0000,1.05,PSE Edge
2018,FEU,960.0000,890.0000,-7.29,PSE Edge
2019,FEU,890.0000,890.0000,0.00,PSE Edge
2020,FEU,890.0000,630.0000,-29.21,PSE Edge
2021,FEU,630.0000,550.0000,-12.70,PSE Edge
2022,FEU,550.0000,540.0000,-1.82,PSE Edge
2023,FEU,540.0000,590.0000,9.26,PSE Edge
2024,FEU,590.0000,735.0000,24.58,PSE Edge
2025,FEU,735.0000,800.0000,8.84,PSE Edge
2026,FEU,800.0000,800.0000,0.00,PSE Edge
2015,FGEN,25.5000,22.6000,-11.37,PSE Edge
2016,FGEN,22.6000,22.0000,-2.65,PSE Edge
2017,FGEN,22.0000,17.0000,-22.73,PSE Edge
2018,FGEN,17.0000,19.9800,17.53,PSE Edge
2019,FGEN,19.9800,24.1500,20.87,PSE Edge
2020,FGEN,24.1500,28.1500,16.56,PSE Edge
2021,FGEN,28.1500,27.8500,-1.07,PSE Edge
2022,FGEN,27.8500,16.9400,-39.17,PSE Edge
2023,FGEN,16.9400,17.4000,2.72,PSE Edge
2024,FGEN,17.4000,16.1200,-7.36,PSE Edge
2025,FGEN,16.1200,17.7400,10.05,PSE Edge
2026,FGEN,17.7400,26.6000,49.94,PSE Edge
2022,FILRT,7.4000,5.5000,-25.68,PSE Edge
2023,FILRT,5.5000,2.5800,-53.09,PSE Edge
2024,FILRT,2.5800,2.9500,14.34,PSE Edge
2025,FILRT,2.9500,3.1000,5.08,PSE Edge
2026,FILRT,3.1000,2.9200,-5.81,PSE Edge
2015,FPH,89.9000,65.0500,-27.64,PSE Edge
2016,FPH,65.0500,67.9000,4.38,PSE Edge
2017,FPH,67.9000,62.0000,-8.69,PSE Edge
2018,FPH,62.0000,64.7500,4.44,PSE Edge
2019,FPH,64.7500,68.9500,6.49,PSE Edge
2020,FPH,68.9500,77.0000,11.68,PSE Edge
2021,FPH,77.0000,70.0500,-9.03,PSE Edge
2022,FPH,70.0500,60.5500,-13.56,PSE Edge
2023,FPH,60.5500,62.5000,3.22,PSE Edge
2024,FPH,62.5000,59.0000,-5.60,PSE Edge
2025,FPH,59.0000,77.0000,30.51,PSE Edge
2026,FPH,77.0000,99.0500,28.64,PSE Edge
2015,GLO,1730.0000,1852.0000,7.05,PSE Edge
2016,GLO,1852.0000,1509.0000,-18.52,PSE Edge
2017,GLO,1509.0000,1900.0000,25.91,PSE Edge
2018,GLO,1900.0000,1900.0000,0.00,PSE Edge
2019,GLO,1900.0000,2020.0000,6.32,PSE Edge
2020,GLO,2020.0000,2030.0000,0.50,PSE Edge
2021,GLO,2030.0000,3322.0000,63.65,PSE Edge
2022,GLO,3322.0000,2180.0000,-34.38,PSE Edge
2023,GLO,2180.0000,1720.0000,-21.10,PSE Edge
2024,GLO,1720.0000,2184.0000,26.98,PSE Edge
2025,GLO,2184.0000,1584.0000,-27.47,PSE Edge
2026,GLO,1584.0000,1583.0000,-0.06,PSE Edge
2015,GSMI,15.8800,12.2800,-22.67,PSE Edge
2016,GSMI,12.2800,12.7000,3.42,PSE Edge
2017,GSMI,12.7000,26.8500,111.42,PSE Edge
2018,GSMI,26.8500,26.7500,-0.37,PSE Edge
2019,GSMI,26.7500,38.0000,42.06,PSE Edge
2020,GSMI,38.0000,49.4000,30.00,PSE Edge
2021,GSMI,49.4000,113.8000,130.36,PSE Edge
2022,GSMI,113.8000,105.0000,-7.73,PSE Edge
2023,GSMI,105.0000,168.7000,60.67,PSE Edge
2024,GSMI,168.7000,275.0000,63.01,PSE Edge
2025,GSMI,275.0000,295.0000,7.27,PSE Edge
2026,GSMI,295.0000,230.0000,-22.03,PSE Edge
2015,GTCAP,1032.0000,1320.0000,27.91,PSE Edge
2016,GTCAP,1320.0000,1270.0000,-3.79,PSE Edge
2017,GTCAP,1270.0000,1292.0000,1.73,PSE Edge
2018,GTCAP,1292.0000,975.0000,-24.54,PSE Edge
2019,GTCAP,975.0000,847.0000,-13.13,PSE Edge
2020,GTCAP,847.0000,585.0000,-30.93,PSE Edge
2021,GTCAP,585.0000,540.0000,-7.69,PSE Edge
2022,GTCAP,540.0000,435.0000,-19.44,PSE Edge
2023,GTCAP,435.0000,590.0000,35.63,PSE Edge
2024,GTCAP,590.0000,658.0000,11.53,PSE Edge
2025,GTCAP,658.0000,595.0000,-9.57,PSE Edge
2026,GTCAP,595.0000,499.0000,-16.13,PSE Edge
2015,ICT,115.0000,70.3000,-38.87,PSE Edge
2016,ICT,70.3000,71.9500,2.35,PSE Edge
2017,ICT,71.9500,105.5000,46.63,PSE Edge
2018,ICT,105.5000,100.0000,-5.21,PSE Edge
2019,ICT,100.0000,128.6000,28.60,PSE Edge
2020,ICT,128.6000,123.5000,-3.97,PSE Edge
2021,ICT,123.5000,200.0000,61.94,PSE Edge
2022,ICT,200.0000,200.0000,0.00,PSE Edge
2023,ICT,200.0000,246.8000,23.40,PSE Edge
2024,ICT,246.8000,386.0000,56.40,PSE Edge
2025,ICT,386.0000,567.0000,46.89,PSE Edge
2026,ICT,567.0000,930.5000,64.11,PSE Edge
2015,JFC,215.0000,219.0000,1.86,PSE Edge
2016,JFC,219.0000,194.0000,-11.42,PSE Edge
2017,JFC,194.0000,253.0000,30.41,PSE Edge
2018,JFC,253.0000,291.8000,15.34,PSE Edge
2019,JFC,291.8000,216.0000,-25.98,PSE Edge
2020,JFC,216.0000,195.2000,-9.63,PSE Edge
2021,JFC,195.2000,216.4000,10.86,PSE Edge
2022,JFC,216.4000,230.0000,6.28,PSE Edge
2023,JFC,230.0000,251.4000,9.30,PSE Edge
2024,JFC,251.4000,269.0000,7.00,PSE Edge
2025,JFC,269.0000,180.0000,-33.09,PSE Edge
2026,JFC,180.0000,154.0000,-14.44,PSE Edge
2015,JGS,66.0000,73.3000,11.06,PSE Edge
2016,JGS,73.3000,67.6500,-7.71,PSE Edge
2017,JGS,67.6500,72.1000,6.58,PSE Edge
2018,JGS,72.1000,55.7000,-22.75,PSE Edge
2019,JGS,55.7000,80.8000,45.06,PSE Edge
2020,JGS,80.8000,71.6000,-11.39,PSE Edge
2021,JGS,71.6000,53.0000,-25.98,PSE Edge
2022,JGS,53.0000,50.3000,-5.09,PSE Edge
2023,JGS,50.3000,38.1500,-24.16,PSE Edge
2024,JGS,38.1500,20.5500,-46.13,PSE Edge
2025,JGS,20.5500,23.6500,15.09,PSE Edge
2026,JGS,23.6500,20.4500,-13.53,PSE Edge
2015,KEEPR,1.7400,1.6000,-8.05,PSE Edge
2016,KEEPR,1.6000,6.4700,304.37,PSE Edge
2017,KEEPR,6.4700,5.3900,-16.69,PSE Edge
2018,KEEPR,5.3900,6.5000,20.59,PSE Edge
2019,KEEPR,6.5000,5.0000,-23.08,PSE Edge
2020,KEEPR,5.0000,5.2800,5.60,PSE Edge
2021,KEEPR,5.2800,1.3200,-75.00,PSE Edge
2022,KEEPR,1.3200,1.2700,-3.79,PSE Edge
2023,KEEPR,1.2700,1.4800,16.54,PSE Edge
2024,KEEPR,1.4800,2.2300,50.68,PSE Edge
2025,KEEPR,2.2300,2.4800,11.21,PSE Edge
2026,KEEPR,2.4800,1.8600,-25.00,PSE Edge
2015,LPZ,6.7000,6.6000,-1.49,PSE Edge
2016,LPZ,6.6000,7.8000,18.18,PSE Edge
2017,LPZ,7.8000,5.6000,-28.21,PSE Edge
2018,LPZ,5.6000,4.0000,-28.57,PSE Edge
2019,LPZ,4.0000,3.7100,-7.25,PSE Edge
2020,LPZ,3.7100,3.7200,0.27,PSE Edge
2021,LPZ,3.7200,2.9100,-21.77,PSE Edge
2022,LPZ,2.9100,2.9500,1.37,PSE Edge
2023,LPZ,2.9500,4.2500,44.07,PSE Edge
2024,LPZ,4.2500,2.7000,-36.47,PSE Edge
2025,LPZ,2.7000,3.7200,37.78,PSE Edge
2026,LPZ,3.7200,5.5000,47.85,PSE Edge
2015,LTG,12.1400,14.7800,21.75,PSE Edge
2016,LTG,14.7800,12.5600,-15.02,PSE Edge
2017,LTG,12.5600,18.7400,49.20,PSE Edge
2018,LTG,18.7400,16.6000,-11.42,PSE Edge
2019,LTG,16.6000,11.9800,-27.83,PSE Edge
2020,LTG,11.9800,13.1000,9.35,PSE Edge
2021,LTG,13.1000,9.9000,-24.43,PSE Edge
2022,LTG,9.9000,9.2000,-7.07,PSE Edge
2023,LTG,9.2000,8.9800,-2.39,PSE Edge
2024,LTG,8.9800,10.5000,16.93,PSE Edge
2025,LTG,10.5000,14.7800,40.76,PSE Edge
2026,LTG,14.7800,15.2600,3.25,PSE Edge
2015,MBT,83.0000,80.5000,-3.01,PSE Edge
2016,MBT,80.5000,72.6000,-9.81,PSE Edge
2017,MBT,72.6000,101.4000,39.67,PSE Edge
2018,MBT,101.4000,80.9500,-20.17,PSE Edge
