scope,year,residence,indicator,pct,source
AFR,2014,rural,sanitation_safely_managed,18.6425,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,rural,water_basic,44.2582,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,rural,water_safely_managed,11.9174,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,total,handwashing_basic,24.836,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,total,open_defecation,21.401,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,total,sanitation_basic,32.0469,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,total,sanitation_safely_managed,23.1879,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,total,water_basic,59.8291,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,total,water_safely_managed,27.1489,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,urban,handwashing_basic,38.683,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,urban,open_defecation,6.3926,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,urban,sanitation_basic,46.5584,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,urban,sanitation_safely_managed,30.1178,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,urban,water_basic,83.4987,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2014,urban,water_safely_managed,50.3703,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,rural,handwashing_basic,15.8324,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,rural,open_defecation,30.5248,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,rural,sanitation_basic,22.8376,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,rural,sanitation_safely_managed,19.0018,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,rural,water_basic,45.1581,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,rural,water_safely_managed,12.3941,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,total,handwashing_basic,24.987,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,total,open_defecation,20.7445,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,total,sanitation_basic,32.6752,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,total,sanitation_safely_managed,23.668,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,total,water_basic,60.7395,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,total,water_safely_managed,27.9121,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,urban,handwashing_basic,38.6254,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,urban,open_defecation,6.1985,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,urban,sanitation_basic,47.1457,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,urban,sanitation_safely_managed,30.6196,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,urban,water_basic,83.8862,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2015,urban,water_safely_managed,51.0305,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2016,rural,handwashing_basic,16.281,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2016,rural,open_defecation,29.7801,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2016,rural,sanitation_basic,23.2538,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2016,rural,sanitation_safely_managed,19.3554,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
AFR,2016,rural,water_basic,46.0442,"WHO Global Health Observatory (JMP), ghoapi.azureedge.net"
