iso3,year,indicator,who_gho,world_bank,abs_diff,source
RWA,2000,open_defecation,3.0000,3.4601,0.4601,WHO GHO (rounded) vs World Bank WDI
TKM,2001,open_defecation,1.0000,0.5402,0.4598,WHO GHO (rounded) vs World Bank WDI
BWA,2016,open_defecation,10.0000,9.5404,0.4596,WHO GHO (rounded) vs World Bank WDI
PNG,2005,open_defecation,13.0000,13.4595,0.4595,WHO GHO (rounded) vs World Bank WDI
SLV,2003,open_defecation,8.0000,7.5405,0.4595,WHO GHO (rounded) vs World Bank WDI
TUR,2003,open_defecation,1.0000,0.5405,0.4595,WHO GHO (rounded) vs World Bank WDI
PHL,2023,open_defecation,3.0000,2.5406,0.4594,WHO GHO (rounded) vs World Bank WDI
AGO,2017,open_defecation,28.0000,27.5407,0.4593,WHO GHO (rounded) vs World Bank WDI
MYS,2011,open_defecation,0.0000,0.4592,0.4592,WHO GHO (rounded) vs World Bank WDI
STP,2022,open_defecation,36.0000,36.4592,0.4592,WHO GHO (rounded) vs World Bank WDI
CRI,2009,open_defecation,0.0000,0.4591,0.4591,WHO GHO (rounded) vs World Bank WDI
GRD,2013,open_defecation,4.0000,3.5411,0.4589,WHO GHO (rounded) vs World Bank WDI
GRD,2014,open_defecation,4.0000,3.5411,0.4589,WHO GHO (rounded) vs World Bank WDI
GRD,2015,open_defecation,4.0000,3.5411,0.4589,WHO GHO (rounded) vs World Bank WDI
GRD,2016,open_defecation,4.0000,3.5411,0.4589,WHO GHO (rounded) vs World Bank WDI
GRD,2017,open_defecation,4.0000,3.5411,0.4589,WHO GHO (rounded) vs World Bank WDI
SLE,2005,open_defecation,23.0000,23.4589,0.4589,WHO GHO (rounded) vs World Bank WDI
VUT,2001,open_defecation,1.0000,0.5412,0.4588,WHO GHO (rounded) vs World Bank WDI
PYF,2010,open_defecation,1.0000,0.5415,0.4585,WHO GHO (rounded) vs World Bank WDI
TGO,2009,open_defecation,52.0000,52.4585,0.4585,WHO GHO (rounded) vs World Bank WDI
SUR,2014,open_defecation,3.0000,3.4583,0.4583,WHO GHO (rounded) vs World Bank WDI
TJK,2022,open_defecation,0.0000,0.4583,0.4583,WHO GHO (rounded) vs World Bank WDI
GNQ,2005,open_defecation,7.0000,7.4581,0.4581,WHO GHO (rounded) vs World Bank WDI
TLS,2018,open_defecation,16.0000,16.4580,0.4580,WHO GHO (rounded) vs World Bank WDI
MWI,2004,open_defecation,12.0000,12.4576,0.4576,WHO GHO (rounded) vs World Bank WDI
TJK,2023,open_defecation,0.0000,0.4574,0.4574,WHO GHO (rounded) vs World Bank WDI
COD,2000,open_defecation,10.0000,10.4571,0.4571,WHO GHO (rounded) vs World Bank WDI
PAN,2022,open_defecation,3.0000,3.4569,0.4569,WHO GHO (rounded) vs World Bank WDI
VUT,2000,open_defecation,1.0000,0.5431,0.4569,WHO GHO (rounded) vs World Bank WDI
YEM,2002,open_defecation,32.0000,32.4569,0.4569,WHO GHO (rounded) vs World Bank WDI
